id,tweetText,tweetURL,type,tweetAuthor,handle,geo,mentions,hashtags,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1875823590672867498,"Ahok dan Anies Akrab di Tahun Baru, Pengamat: Bisa Jadi Dukungan Kuat untuk Pramono-Rano

#beritanasional #minggu #ahok #aniesbaswedan #tahunbaru2025 #pramonoanung #ranokarno #gubernurdkijakarta 

https://t.co/cVINQcIudE https://t.co/GqpbcGXoNZ",https://x.com/NasionalBerita_/status/1875823590672867498,tweet,Berita Nasional,@NasionalBerita_,,,"#beritanasional,#minggu,#ahok,#aniesbaswedan,#tahunbaru2025,#pramonoanung,#ranokarno,#gubernurdkijakarta",0,0,0,1,35,0,1/5/2025 15:36,https://pbs.twimg.com/media/GghDmVaacAA4JfB.jpg,
1875798124230537685,"Pernah gk teman-teman merasakan keseruan diatas perahu kayak gini? 😊😊
#Tahunbaru2025
#pantaiwaemarassatarmesebaratmanggarainttindonesia https://t.co/2ciyWrXBYI",https://x.com/YohandAngkur19_/status/1875798124230537685,tweet,Yohand,@YohandAngkur19_,"Flores, Indonesia",,"#Tahunbaru2025,#pantaiwaemarassatarmesebaratmanggarainttindonesia",0,0,0,0,6,0,1/5/2025 13:54,https://pbs.twimg.com/ext_tw_video_thumb/1875798037798535168/pu/img/BihGK3vlSW6Bmcm_.jpg,https://video.twimg.com/ext_tw_video/1875798037798535168/pu/vid/avc1/478x850/_kn0bQFD9T2O3UBI.mp4?tag=12
1875789211078684821,"Kab. Tegal - Jateng | Rabu (1/1/2025).

Giat PMI Kab. Tegal PAM Natal 2024 dan Tahun baru 2025 (NATARU), lokasi :

🚑 POS Kesehatan Rest Area 275A Penarukan Adiwerna 

🚑POS Obyek Wisata Guci.

#pmiselalubantu
#pamnataru2024
#tahunbaru2025
#pmikabtegal https://t.co/3aUw50yaGN",https://x.com/PMIKabTegal/status/1875789211078684821,tweet,PMI Kabupaten Tegal,@PMIKabTegal,"Kota Slawi, Kab. Tegal  Jateng",,"#pmiselalubantu,#pamnataru2024,#tahunbaru2025,#pmikabtegal",0,0,0,2,22,0,1/5/2025 13:19,https://pbs.twimg.com/ext_tw_video_thumb/1875789135874813955/pu/img/aNbSgrK0CSk3zyYm.jpg,https://video.twimg.com/ext_tw_video/1875789135874813955/pu/vid/avc1/720x720/etZGCkQesY4h2vFO.mp4?tag=12
1875754103391080805,"✨ Bak kata orang.... 'New Year New Me' ✨

Lawak Kampus 48
🛒 GS Store: https://t.co/9yu6hjqYBG

#KadokawaGempakStarz #GempakStarz #KGS #LawakKampus #LawakKampus48 #Keith #SelamatTahunBaru2025 #TahunBaru2025 #Tahun2025 https://t.co/kDhzwWNGLA",https://x.com/Gempak_Starz/status/1875754103391080805,tweet,Gempak Starz,@Gempak_Starz,"Bandar Tasik Selatan, KL",,"#KadokawaGempakStarz,#GempakStarz,#KGS,#LawakKampus,#LawakKampus48,#Keith,#SelamatTahunBaru2025,#TahunBaru2025,#Tahun2025",0,0,0,1,61,0,1/5/2025 11:00,https://pbs.twimg.com/media/GgWWUfhbQAAl1Og.png,
1875750045443879326,"Kadang miris melihat lansia masih mencari nafkah, tentu tidak sekuat pas usia muda, penglihatan juga sudah berkurang. 
#TahunBaru2025 https://t.co/jIV47RHwC6",https://x.com/Arkobumen/status/1875750045443879326,tweet,arkobumen,@Arkobumen,Surakarta,,#TahunBaru2025,0,0,0,6,70,0,1/5/2025 10:43,https://pbs.twimg.com/ext_tw_video_thumb/1875749967744364544/pu/img/0tMVNe8PnGyYqapO.jpg,https://video.twimg.com/ext_tw_video/1875749967744364544/pu/vid/avc1/720x1280/bTDheYA1Pg-KqTd5.mp4?tag=12
1875735331284431013,"https://t.co/EiJnrzGdOp

Berikut Jadwal Film Spesial Tahun Baru 2025 di TransTV dan Trans7 hari ini, Minggu 5 Januari 2025

#Film
#TahunBaru2025",https://x.com/helojabar_/status/1875735331284431013,tweet,helojabar,@helojabar_,,,"#Film,#TahunBaru2025",0,0,0,0,15,0,1/5/2025 9:45,,
1875723088580768081,"Berita Minggu pagi, peran polisi di Jombang dalam menjaga keamanan dan ketertiban selama Natal dan Tahun Baru tempo hari mendapat apresiasi ulama.
#Natal2024 #TahunBaru2025 #Nataru #Polri #PolresJombang #Jombang #ulama",https://x.com/NewsJatim1/status/1875723088580768081,tweet,Jatim Satu News,@NewsJatim1,,,"#Natal2024,#TahunBaru2025,#Nataru,#Polri,#PolresJombang,#Jombang,#ulama",0,0,0,0,21,0,1/5/2025 8:56,,
1875705274650198116,"Selamat Tahun Baru 2025.

Energi Baru untuk Awal Perubahan
dan Semangat Keberlanjutan.

#PLN #PLNUntukIndonesia #AcceleratingRenewableEnergy #Swasembadaenergi
#TahunBaru2025",https://x.com/UrzaMas/status/1875705274650198116,tweet,Mas Urza,@UrzaMas,,,"#PLN,#PLNUntukIndonesia,#AcceleratingRenewableEnergy,#Swasembadaenergi,#TahunBaru2025",0,0,0,0,8,0,1/5/2025 7:46,,
1875705050200469598,"Selamat Tahun Baru 2025.

Energi Baru untuk Awal Perubahan
dan Semangat Keberlanjutan.

#PLN #PLNUntukIndonesia #AcceleratingRenewableEnergy #Swasembadaenergi
#TahunBaru2025",https://x.com/UP3_Saumlaki/status/1875705050200469598,tweet,PLN Saumlaki,@UP3_Saumlaki,,,"#PLN,#PLNUntukIndonesia,#AcceleratingRenewableEnergy,#Swasembadaenergi,#TahunBaru2025",0,0,0,0,13,0,1/5/2025 7:45,,
1875695490593132673,"EPISODE TERBARU RUANG CAKAP! 

Sekian purnama akhirnya update jugaak hihi!! 
Yu di denger saran dan kritik yang membangun boleh banget loh! 

https://t.co/B6oY7nNju3

#komunitaspodcaster #podcaster #TahunBaru2025 #Podcast",https://x.com/dillasdiary/status/1875695490593132673,tweet,Opay,@dillasdiary,Banten,,"#komunitaspodcaster,#podcaster,#TahunBaru2025,#Podcast",0,0,0,1,32,0,1/5/2025 7:07,,
1875690257083199492,"@kemendagri Selamat Tahun Baru!!

Mari kobarkan semangat baru demi wujudkan Indonesia maju

#tahunbaru2025
#kemendagri
#infokemendagri https://t.co/6XUrZVhFYH",https://x.com/wahrizalrr/status/1875690257083199492,tweet,Riski Rizal Wahyudi,@wahrizalrr,"Bali, Indonesia",@kemendagri,"#tahunbaru2025,#kemendagri,#infokemendagri",0,0,0,0,12,0,1/5/2025 6:46,https://pbs.twimg.com/media/GgfKWBbbQAAVKFG.jpg,
1875690178616160291,"@kemendagri Selamat Tahun Baru!!

Mari kobarkan semangat baru demi wujudkan Indonesia maju

@Kemendagri_RI @w_risaldi @titoka

#tahunbaru2025
#kemendagri
#infokemendagri https://t.co/VxedITdkpQ",https://x.com/wahrizalrr/status/1875690178616160291,tweet,Riski Rizal Wahyudi,@wahrizalrr,"Bali, Indonesia","@kemendagri,@Kemendagri_RI,@w_risaldi,@TitoKa","#tahunbaru2025,#kemendagri,#infokemendagri",0,0,0,0,18,0,1/5/2025 6:46,https://pbs.twimg.com/media/GgfKRWRa8AIdZ9M.jpg,
1875628172546658368,"SLOT MANIA Oleh Pragmatic Play Kalender Event

10 Januari 2024 - 13 Januari 2025
Total Hadiah 124.904.000.000,- 

#Dewatogel #PragmaticPlay #Turnamen #Ekslusif #slotmania #VIP #Februari #TahunBaru2025 #Januari https://t.co/fLEyq1k9jH",https://x.com/AugusBondek/status/1875628172546658368,tweet,augus bondek,@AugusBondek,,,"#Dewatogel,#PragmaticPlay,#Turnamen,#Ekslusif,#slotmania,#VIP,#Februari,#TahunBaru2025,#Januari",0,0,0,0,23,0,1/5/2025 2:39,https://pbs.twimg.com/media/GgeR4MZa8AI-DAg.png,
1875565123785634188,"Koalisi Ojol Nasional Apresiasi Polri atas Pengamanan Natal dan Tahun Baru yang Sukses

#Apresiasi #Polri #Natal2024 #Tahunbaru2025 #Pengamanan #KoalisiOjol https://t.co/SzkjzSq4S1",https://x.com/tribun_rakyat/status/1875565123785634188,tweet,Tribun Rakyat,@tribun_rakyat,Indonesia,,"#Apresiasi,#Polri,#Natal2024,#Tahunbaru2025,#Pengamanan,#KoalisiOjol",0,0,0,1,15,0,1/4/2025 22:29,https://pbs.twimg.com/ext_tw_video_thumb/1875565063001796611/pu/img/ktQqH2pQKg3nMuI9.jpg,https://video.twimg.com/ext_tw_video/1875565063001796611/pu/vid/avc1/1280x720/bINvuFta4Px7nif3.mp4?tag=12
1875563650582552804,"Nu'man Fauzi Apresiasi Polri atas Pengamanan Natal 2024 dan Tahun Baru 2025 yang Aman dan Damai

#Apresiasi #Polri #Natal2024 #Tahunbaru2025 #amandamai https://t.co/swSBGgyZUm",https://x.com/tribun_rakyat/status/1875563650582552804,tweet,Tribun Rakyat,@tribun_rakyat,Indonesia,,"#Apresiasi,#Polri,#Natal2024,#Tahunbaru2025,#amandamai",0,0,0,1,11,0,1/4/2025 22:23,https://pbs.twimg.com/ext_tw_video_thumb/1875563584627126272/pu/img/xLEJSMlGEg3IiEZ2.jpg,https://video.twimg.com/ext_tw_video/1875563584627126272/pu/vid/avc1/480x848/GGqP2MXvu1K0a0zp.mp4?tag=12
1875560810321473823,"Semua terwujud karena kerja sama dan sinergitas yang ada semoga kita semua selalu diberikan kesehatan keberkahan, selamat Natal dan tahun baru 2025, Tuhan memberkati kita semua, Aamiin.
#padahariini 
#natal2024 
#tahunbaru2025 
#gitj 
#PolrestaPati https://t.co/ij54Czbkak",https://x.com/S51ap2022/status/1875560810321473823,tweet,Satria 51ap,@S51ap2022,,,"#padahariini,#natal2024,#tahunbaru2025,#gitj,#PolrestaPati",0,0,0,1,1,0,1/4/2025 22:11,https://pbs.twimg.com/ext_tw_video_thumb/1875560399162265600/pu/img/APavGod0yeaZ5nkT.jpg,https://video.twimg.com/ext_tw_video/1875560399162265600/pu/vid/avc1/1280x720/v2zReo9wYRvZnjO6.mp4?tag=12
1875541931310363027,"🎤🌟 ""Selamat Tahun Baru! Nikmati suara merdu Nande Tigan, Mey Permata br Tarigan, dengan lagu-lagu Karo terbaiknya. Penyanyi hits dan berbakat ini selalu berhasil menyentuh hati pendengar. 🎶✨""
#NandeTigan #MeyPermata #LaguKaro #TahunBaru2025 #MusikTradisional https://t.co/dNSwPUKyrL",https://x.com/Sorotankaro/status/1875541931310363027,tweet,Sorotan_Karo,@Sorotankaro,"Karo, Sumatera Utara",,"#NandeTigan,#MeyPermata,#LaguKaro,#TahunBaru2025,#MusikTradisional",0,0,0,0,11,0,1/4/2025 20:56,https://pbs.twimg.com/ext_tw_video_thumb/1875541770706268160/pu/img/lAfHgXqFhKxuaedJ.jpg,https://video.twimg.com/ext_tw_video/1875541770706268160/pu/vid/avc1/704x1280/O6vbPWg2BT2J36LR.mp4?tag=12
1875533683488379275,"@Heraloebss Masuk sel, bsk ikut program dr Kemen Imipas ya biar kerjaan nya ga begal lg.

https://t.co/6w2Em53mHl

#Prabowo #Pemerintah #Kemen #KemenImpias #Negara #KasNegara #Weekend #Libur #TahunBaru #2025 #TahunBaru2025",https://x.com/Istamayaapriani/status/1875533683488379275,tweet,Istamaya apriani,@Istamayaapriani,,@Heraloebss,"#Prabowo,#Pemerintah,#Kemen,#KemenImpias,#Negara,#KasNegara,#Weekend,#Libur,#TahunBaru,#TahunBaru2025",0,0,0,0,4,0,1/4/2025 20:24,,
1875532703065682097,"@blvberriis Setoran Kemen Imipas bukan kaleng2 nih!

https://t.co/TM6R07ozZA

#Prabowo #Pemerintah #Kemen #KemenImpias #Negara #KasNegara #Weekend #Libur #TahunBaru #2025 #TahunBaru2025",https://x.com/Istamayaapriani/status/1875532703065682097,tweet,Istamaya apriani,@Istamayaapriani,,@blvberriis,"#Prabowo,#Pemerintah,#Kemen,#KemenImpias,#Negara,#KasNegara,#Weekend,#Libur,#TahunBaru,#TahunBaru2025",0,0,0,0,2,0,1/4/2025 20:20,,
1875532416863055907,"#SobatHebat 

Kira kira, harapan kamu di tahun 2025 apa nih? Sharing yuk..

#TahunBaru2025 https://t.co/VBWipGxbq8",https://x.com/utycampus/status/1875532416863055907,tweet,UTY (Official Account),@utycampus,"Yogyakarta, Indonesia",,"#SobatHebat,#TahunBaru2025",0,0,0,0,10,0,1/4/2025 20:19,https://pbs.twimg.com/ext_tw_video_thumb/1875532141192482816/pu/img/kWi9TuGFEPoesH8N.jpg,https://video.twimg.com/ext_tw_video/1875532141192482816/pu/vid/avc1/478x850/ZMjTn9T7GjVXb79r.mp4?tag=12
1875532119449202797,"https://t.co/6w2Em53mHl

Ini sih ide nya bagus..
Biar ada bekal waktu selesai hukuman nya.

#Prabowo #Pemerintah #Kemen #KemenImpias #Negara #KasNegara #Weekend #Libur #TahunBaru #2025 #TahunBaru2025",https://x.com/Istamayaapriani/status/1875532119449202797,tweet,Istamaya apriani,@Istamayaapriani,,,"#Prabowo,#Pemerintah,#Kemen,#KemenImpias,#Negara,#KasNegara,#Weekend,#Libur,#TahunBaru,#TahunBaru2025",0,0,0,0,8,0,1/4/2025 20:17,,
1875531875168760256,"https://t.co/TM6R07ozZA

Keren sih ini Kemen Imipas.. 👍👍

#Prabowo #Pemerintah #Kemen #KemenImpias #Negara #KasNegara #Weekend #Libur #TahunBaru #2025 #TahunBaru2025",https://x.com/Istamayaapriani/status/1875531875168760256,tweet,Istamaya apriani,@Istamayaapriani,,,"#Prabowo,#Pemerintah,#Kemen,#KemenImpias,#Negara,#KasNegara,#Weekend,#Libur,#TahunBaru,#TahunBaru2025",0,0,0,0,4,0,1/4/2025 20:16,,
1875530702319694095,"@intinyadeh Kemen Imipas ga nanggung2 setoran nya..

https://t.co/N1WiEF42kY

Keren ih.. 👍👍

#Prabowo #Pemerintah #Kemen #KemenImpias #Negara #KasNegara #Weekend #Libur #TahunBaru #2025 #TahunBaru2025",https://x.com/CalyaInshira/status/1875530702319694095,tweet,Calya Inshira,@CalyaInshira,,@intinyadeh,"#Prabowo,#Pemerintah,#Kemen,#KemenImpias,#Negara,#KasNegara,#Weekend,#Libur,#TahunBaru,#TahunBaru2025",0,0,0,0,4,0,1/4/2025 20:12,,
1875529027571871777,"@ilhampid @ListyoSigitP Siap2 masuk penjara nanti ikut program ini ya om..

https://t.co/9753QmPLG9

#Prabowo #Pemerintah #Kemen #KemenImpias #Negara #KasNegara #Weekend #Libur #TahunBaru #2025 #TahunBaru2025",https://x.com/CalyaInshira/status/1875529027571871777,tweet,Calya Inshira,@CalyaInshira,,"@ilhampid,@ListyoSigitP","#Prabowo,#Pemerintah,#Kemen,#KemenImpias,#Negara,#KasNegara,#Weekend,#Libur,#TahunBaru,#TahunBaru2025",0,0,0,0,5,0,1/4/2025 20:05,,
